Phụ lục II
DANH MỤC CÁC CƠ SỞ PHÁT THẢI KHÍ NHÀ KÍNH PHẢI THỰC HIỆN KIỂM KÊ KHÍ NHÀ KÍNH
NGÀNH CÔNG THƯƠNG
*(Kèm theo Quyết định số      /2024/QĐ-TTg ngày     tháng      năm 2024 của Thủ tướng Chính phủ)*
| STT | Tên cơ sở | Địa chỉ | Ngành nghề/Loại hình kinh doanh | Tiêu thụ năng lượng (TOE) |
| --- | --- | --- | --- | --- |
| I. TÂY BẮC BỘ |
| 114 | Nhà máy Công ty Cổ phần Giấy Trường Xuân | Phường Bãi Bông, thành phố Phổ Yên | Sản xuất giấy | 1.336 |
| 115 | Công ty trách nhiệm hữu hạn khí công nghiệp Messer Hải Phòng - Chi nhánh Yên Bình Thái Nguyên | Lô CN2, khu công nghiệp Yên Bình giai đoạn 2, diện tích 50,96 ha, phường Đồng Tiến, TP Phổ Yên | Sản xuất công nghiệp | 7.634 |
| 116 | Công ty TNHH Đúc Nam Ninh | Tổ 10 phường Mỏ Chè, thành phố Sông Công | Sản xuất công nghiệp | 1.066 |
| 117 | Công ty TNHH Bjsteel Việt Nam | Khu A, khu công nghiệp Sông Công 1, P. Mỏ Chè, TP Sông Công | Sản xuất công nghiệp | 1.017 |
| 118 | Công ty cổ phần DONGWHA Việt Nam | Tổ Dân Phố Nguyên Gon, Phường Cải Đan, TP Sông Công | Sản xuất công nghiệp | 14.771 |
| 119 | Công ty cổ phần Nam Việt | Phường Phố Cò, TP Sông Công | Sản xuất công nghiệp | 1.058 |
| 120 | Công ty cổ phần cơ điện luyện kim Thái Nguyên | Tổ 13, phường Cam Giá, TP Thái Nguyên | Sản xuất công nghiệp | 2.265 |
| 121 | Công ty Cổ Phần Kim Quy Thái Nguyên | Xóm La Đành, Xã Hóa Trung, huyện Đồng Hỷ | Sản xuất công nghiệp | 1.025 |
| 6. Tỉnh Lạng Sơn |
| 122 | Công ty nhiệt điện Na Dương | Thị trấn Na Dương, huyện Lộc Bình, tỉnh Lạng Sơn | Phát điện | 135.320 |
| 123 | Công ty Cổ phần đá mài Hải Dương - Chi nhánh hạt mài Tân Mỹ | Xã Tân Mỹ, huyện Văn Lãng, tỉnh Lạng Sơn (Đ/c VP Công ty: 314 Điện Biên Phủ, P.Bình Hàn TP.Hải Dương) | Sản xuất, luyện Corindon | 5.391 |
| 124 | Công ty than Na Dương - VVMI | Thị trấn Na Dương, huyện Lộc Bình, tỉnh Lạng Sơn | Khai thác than | 8.371 |
| 7. Tỉnh Bắc Giang |
| 125 | Công ty TNHH một thành viên 45 | Xã Thanh Sơn, huyện Sơn Động, tỉnh Bắc Giang | Khai thác, chế biến than | 2.919 |
| 126 | Công ty TNHH một thành viên Phân đạm và Hóa chất Hà Bắc | Phường Thọ Xương, thành phố Bắc Giang, tỉnh Bắc Giang | Sản xuất Đạm Urê, NH3, CO2 lỏng, CO2 rắn | 482.988 |
| 127 | Nhà máy giấy Xương Giang - Công ty Cổ phần xuất nhập khẩu Bắc Giang | KCN Song Khê, Nội Hoàng, thành phố Bắc Giang, tỉnh Bắc Giang | Sản xuất Giấy | 18.767 |
| 128 | Công ty Nhiệt điện Sơn Động - TKV | Thị trấn Tây Yên Tử, huyện Sơn Động | Sản xuất điện | 553.340 |
| 129 | Công ty TNHH JA Solar Việt Nam | KCN Quang Châu, huyện Việt Yên | Sản xuất pin năng lượng mặt trời | 27.141 |
| 130 | Công ty TNHH Luxshare-ICT (Việt Nam) | KCN Quang Châu, huyện Việt Yên | Sản xuất thiết bị điện, điện tử | 10.150 |
| 131 | Công ty TNHH Luxshare-ICT (Vân Trung) | KCN Vân Trung, huyện Việt Yên | Sản xuất thiết bị điện, điện tử | 6.172 |
| 8. Tỉnh Quảng Ninh |
