ma,loai,so_plugin,so_lan,plugins,ban_goc_tai,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
NĐ 118/2021,NĐ,3,44,hnh-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,xp-sct-vn,23/12/2021,01/01/2022,NĐ 68/2025; NĐ 190/2025,,,Chi tiết Luật XLVPHC; bản gốc + 72 biểu mẫu tại xp-sct-vn/van-ban-goc/chung — CHƯA hợp nhất 68/190 (chưa có bản gốc 2 NĐ này)
NĐ 122/2021,NĐ,1,10,xp-sct-vn,xp-sct-vn,,,,,,
NĐ 124/2021,NĐ,2,8,attp-sct-vn;xp-sct-vn,xp-sct-vn,,,,,,
NĐ 126/2021,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 139/2021,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 144/2021,NĐ,4,15,pccc-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,
NĐ 15/2021,NĐ,3,8,pccc-sct-vn;qlks-sct-vn;tkm-sct-vn,,,,,,,
NĐ 18/2021,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 31/2021,NĐ,3,10,kccn-sct-vn;vbhc-vn;xp-sct-vn,,,,,,,
NĐ 51/2021,NĐ,1,2,kccn-sct-vn,,,,,,,
NĐ 55/2021,NĐ,1,1,bvmt-sct-vn,,,,,,,
NĐ 6/2021,NĐ,4,67,kccn-sct-vn;kho-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn,,,,,,,
NĐ 117/2020,NĐ,1,2,attp-sct-vn,xp-sct-vn,,,,,,
NĐ 125/2020,NĐ,1,2,xp-sct-vn,,,,,,,
NĐ 136/2020,NĐ,1,7,pccc-sct-vn,,,,,,,
NĐ 17/2020,NĐ,1,16,attp-sct-vn,xp-sct-vn,,,,,,
NĐ 23/2020,NĐ,1,2,qlks-sct-vn,,,,,,,
NĐ 24/2020,NĐ,1,1,attp-sct-vn,xp-sct-vn,,,,,,
