TT,Ten_don_vi,Ten_mo_xa,Dia_chi_huyen_cu,Loai_KS,So_GP,Ngay_cap,Ngay_het_han,Dien_tich_ha,Co_quan_cap,Ghi_chu,CS_m3,CS_tan,Hien_trang,Nop_TKM,TB_GDDH_mo,Ban_giao_moc,Tram_can,Camera,Ky_quy_PHMT,QD_thue_dat,GP_KT_nuoc,GPMT,GP_VLN
49,Công ty Cổ phần Thịnh Đạt,"Khu vực quặng chì-kẽm: Huổi Pao, xã Nậm Có; Bản Lìm (2 điểm), xã Cao Phạ và Hấu Đề, xã La Pán Tẩn (tổng 04 điểm) nay là xã Nậm Có, xã Tú Lệ, xã Púng Luông",,Chì - kẽm,174/GP-UBND,11/02/2022,11/02/2032,25.29,Tỉnh cấp,,,3300,Chưa KT,a,a,a,,,,,,,
50,Công ty Cổ phần Thương mại và Sản xuất Công nghiệp,"Đá làm bột Cacbonat 
canxi Đầm Tân Minh II, xã Mông Sơn","ng 6, Tòa nhà Viễn Đông, số 36 phố Hoàng Cầu, Phường Ô Chợ Dừa, Thành phố Hà Nội, Việt Nam ",Đá vôi trắng,1260/GP-BTNMT,13/07/2010,13/07/2039,15.76,Bộ cấp,,,763800,"Đang XDCB; Chưa KT
(Theo BC định kỳ mới bóc đất, đá phủ, chưa có SP)",a,a,a,,,a,a,,,a
51,Công ty Cổ phần Thủy điện Tân Lĩnh,"02 điểm cát, sỏi sông Chảy, xã Tô Mậu và xã Minh Chuẩn (khu vực trúng đấu giá; chuyển nhượng)",Lục Yên,"Cát, sỏi",1316/GP-UBND,25/07/2023,20/08/2036,13.1,Tỉnh cấp,,30000,,Đang KT,a,a,a,,,,a,,,
52,Công ty Cổ phần Thủy điện Tân Lĩnh,"Đá vôi Đá Khánh, xã Kiên Thành (chuyển nhượng)",Trấn Yên ,Đá làm VLXDTT,1317/GP-UBND ,25/07/2023,10/12/2030,2.8,Tỉnh cấp,,20694,,Đang KT,a,a,a,,,a,a,,,a
53,Công ty Cổ phần TM&SX Hùng Đại Dương,"Núi Chuông, xã Tân Lĩnh","Tầng 14, Tòa nhà HM Town, 412 Nguyễn Thị Minh Khai, Phường 05, Quận 3, Thành phố Hồ Chí Minh, Việt NamTrà
 ",Đá vôi trắng,1789/GP-BTNMT,12/11/2007,12/11/2037,5.21,Bộ cấp,,9429,42543,Đang KT,a,a,a,a,a,a,a,a,,
54,Công ty Cổ phần Toàn Kim Sơn,"Háng Chua Xay, xã Chế Cu Nha nay là xã Mù Cang Chải","Tổ 3, Phường Trung Tâm, Tỉnh Lào Cai, Việt Nam",Chì - kẽm,291/GP-UBND,22/02/2019,22/02/2033,5,Tỉnh cấp,,,1500,Đang KT,a,a,a,a,,,a,,,
55,Công ty Cổ phần Vật liệu xây dựng Đăng Dương Việt Nam,"02 điểm cát, sỏi xã Sơn Lương và thị trấn Nông trường Liên Sơn",Văn Chấn ,"Cát, sỏi",1214/GP-UBND,08/07/2019,08/07/2040,7.98,Tỉnh cấp,,9500,,Đang KT,a,a,a,,,,,,,
56,Công ty Cổ phần Vật liệu xây dựng Yên Bái,"Sét Yên Thành, xã Yên Hợp",Văn Yên,Đất làm gạch,858/GP-UBND,19/05/2017,19/11/2046,4.2,Tỉnh cấp,,12500,,Chưa KT,a,,a,,,a,,,,
57,Công ty Cổ phần Vật liệu xây dựng Yên Bái,"Sét Minh Long, xã Tuy Lộc",Yên Bái,Đất làm gạch,876/GP-UBND,22/05/2017,22/11/2027,3.6,Tỉnh cấp,,15000,,Chưa KT,a,,a,,,a,,,,
58,Công ty Cổ phần VINAVICO,"Núi Thâm Then, xã Tân Lập","Thôn Cát Hai, Xã Tân Lập, Huyện Lục Yên, Tỉnh Yên Bái, Việt Nam",Đá vôi trắng,466/GP-BTNMT,16/03/2011,16/03/2041,24,Bộ cấp,,173630,641812,"Chưa KT
(Đang XDCB)",a,a,a,,,,a,,,
59,Công ty Cổ phần Xây dựng An Phúc Yên Bái,"06 điểm cát sông Chảy, xã Động Quan, xã Tô Mậu và xã Tân Lĩnh (khu vực trúng đấu giá; chuyển nhượng)",Lục Yên,"Cát, sỏi",211/GP-UBND,05/02/2021,13/03/2032,17.34,Tỉnh cấp,,45000,,Đang KT,a,a,a,,,a,a,,,
